Word,SFI
repertoire,72.45
obtain,66.52
distribution,65.67
parameter,64.37
aspect,64.19
dynamic,63.51
impact,63.49
domain,63.47
publish,62.90
denote,62.57
authority,62.50
semantic,62.38
par,62.34
ion,62.18
matrix,62.17
linear,62.12
cognitive,62.07
graph,61.81
correlation,61.76
linguistic,61.74
acid,61.72
induce,61.65
velocity,61.64
interval,61.62
discourse,61.51
finite,61.48
stimulus,61.44
vector,61.43
electron,61.41
receptor,61.36
theorem,61.32
algorithm,61.25
fluid,61.21
developmental,61.17
bound,61.14
molecular,61.02
transformation,60.98
spatial,60.89
coefficient,60.83
translation,60.70
membrane,60.68
neuron,60.65
simulation,60.64
lexical,60.62
regime,60.53
variance,60.34
molecule,60.31
marker,60.23
empirical,60.15
robot,60.06
statistical,60.00
vowel,59.97
equilibrium,59.95
intensity,59.94
regression,59.92
diagnosis,59.84
identification,59.82
node,59.78
candidate,59.73
partial,59.71
correlate,59.68
mortality,59.67
antibody,59.65
temporal,59.61
particle,59.59
duration,59.58
behavioral,59.55
consumption,59.55
bilingual,59.49
sensitivity,59.47
similarity,59.46
optimal,59.41
explicit,59.39
mutation,59.37
colonial,59.37
phonological,59.33
spectrum,59.33
nucleus,59.32
onset,59.31
integration,59.26
dominant,59.25
pathway,59.22
coordinate,59.19
calculation,59.18
precede,59.16
subset,59.15
syntactic,59.14
orientation,59.13
proposition,59.13
inequality,59.11
identical,59.11
prevalence,59.10
differential,59.04
generalize,59.03
beam,59.02
pulse,59.01
norm,59.01
trait,58.97
prediction,58.96
correspondence,58.94
essentially,58.93
syllable,58.82
chromosome,58.77
infect,58.76
magnetic,58.76
configuration,58.76
numerical,58.74
namely,58.73
intermediate,58.72
transmission,58.72
dose,58.71
occurrence,58.70
maternal,58.69
axis,58.67
rational,58.66
locus,58.64
elite,58.63
approximation,58.60
thesis,58.60
sin,58.59
classification,58.54
threshold,58.52
syndrome,58.51
comparative,58.50
activate,58.46
adolescent,58.46
vocabulary,58.44
encode,58.44
utterance,58.44
facilitate,58.44
incidence,58.42
induction,58.42
trajectory,58.42
manuscript,58.41
commonly,58.32
grammatical,58.32
accuracy,58.32
adaptation,58.31
amplitude,58.31
cortex,58.31
minimal,58.28
systematic,58.28
horizontal,58.27
projection,58.26
synthesis,58.26
diameter,58.26
cone,58.24
dependence,58.24
organism,58.22
emergence,58.20
overlap,58.19
substitution,58.14
explicitly,58.12
evident,58.12
conceptual,58.11
detection,58.10
interact,58.10
neural,58.08
chronic,58.07
integral,58.06
enzyme,58.05
conference,58.04
conception,58.04
ex,58.03
ideology,58.03
sperm,58.01
quantitative,58.01
sphere,57.99
instability,57.97
mediate,57.95
specification,57.95
classify,57.94
physician,57.94
computation,57.92
oral,57.91
mid,57.91
indicator,57.90
variant,57.89
evolutionary,57.87
feedback,57.86
collective,57.82
arbitrary,57.82
fraction,57.81
estimation,57.80
nonlinear,57.80
compact,57.79
deviation,57.79
diagram,57.79
tropical,57.78
morphology,57.76
thereby,57.75
syntax,57.75
defect,57.74
separation,57.74
convergence,57.74
sufficiently,57.73
valid,57.73
interface,57.73
radiation,57.73
embed,57.72
vertical,57.72
acute,57.72
utility,57.70
complement,57.67
leaf,57.65
verbal,57.64
aggregate,57.64
equality,57.62
corpus,57.61
organ,57.60
gradient,57.60
methodology,57.60
entity,57.57
tumor,57.57
fiber,57.56
paradigm,57.55
psychology,57.53
infinite,57.52
diverse,57.49
diagnostic,57.49
continuity,57.45
variability,57.43
outer,57.42
notation,57.41
probe,57.39
migration,57.39
mathematical,57.39
likelihood,57.37
comparable,57.33
magnitude,57.31
array,57.30
inclusion,57.29
emission,57.27
inference,57.26
non,57.26
consciousness,57.24
simultaneously,57.23
disturbance,57.23
hierarchy,57.22
rotation,57.19
periodic,57.18
validity,57.18
archaeology,57.18
atom,57.17
modification,57.16
partition,57.15
initiate,57.15
autonomy,57.14
inhibit,57.13
consonant,57.12
biology,57.11
scenario,57.10
conditional,57.10
contrary,57.08
discrete,57.08
classroom,57.07
morphological,57.07
lateral,57.06
injection,57.05
effectiveness,57.05
insect,57.04
logical,57.03
calculus,57.01
longitudinal,57.00
usage,57.00
neutral,56.99
client,56.96
marginal,56.96
characterization,56.96
ethical,56.94
superior,56.93
approximate,56.93
composer,56.92
singular,56.92
converge,56.91
fetal,56.91
comprehension,56.90
implicit,56.90
span,56.89
oxygen,56.89
formulation,56.89
dialect,56.88
colony,56.87
immune,56.87
loop,56.85
algebra,56.84
derivative,56.84
appendix,56.84
overview,56.84
diffusion,56.83
specimen,56.81
assert,56.81
widespread,56.80
competence,56.80
residual,56.80
fusion,56.80
conservation,56.79
constrain,56.79
differentiate,56.79
virtue,56.79
amino,56.79
partially,56.78
preliminary,56.78
philosophical,56.78
pre,56.76
transaction,56.76
prominent,56.74
indigenous,56.73
render,56.72
independently,56.72
symbolic,56.71
utilize,56.70
physiological,56.68
indirect,56.68
assembly,56.67
calcium,56.67
strictly,56.65
psychiatric,56.65
unity,56.65
critique,56.65
differentiation,56.65
closure,56.64
minimize,56.64
selective,56.64
availability,56.63
depict,56.61
cue,56.60
parental,56.59
ritual,56.58
fertility,56.56
adjacent,56.56
inhibition,56.55
observer,56.55
readily,56.55
questionnaire,56.55
generalization,56.55
qualitative,56.54
tense,56.53
locally,56.50
transcription,56.50
nutrient,56.50
reinforce,56.49
simulate,56.49
statistically,56.49
dense,56.49
ecology,56.49
null,56.47
terminal,56.46
informal,56.45
discharge,56.44
adaptive,56.44
ecological,56.43
protocol,56.42
progressive,56.41
aesthetic,56.41
agriculture,56.40
exploit,56.40
practitioner,56.39
occupation,56.38
equivalence,56.34
pragmatic,56.34
productivity,56.32
arrow,56.30
reproduce,56.30
commentary,56.29
residue,56.28
unstable,56.28
consensus,56.26
simplify,56.26
radius,56.24
artificial,56.22
harvest,56.21
suicide,56.20
pi,56.16
monkey,56.12
habitat,56.09
assignment,56.09
replicate,56.09
mechanical,56.08
disability,56.07
cattle,56.07
purely,56.07
contradiction,56.05
scatter,56.05
problematic,56.03
correction,56.02
linguistics,56.02
hormone,56.01
primitive,55.99
ethics,55.98
accumulation,55.97
static,55.96
consent,55.93
substrate,55.93
straightforward,55.93
discrimination,55.91
separately,55.90
randomize,55.88
sensory,55.85
confine,55.83
mineral,55.79
peripheral,55.79
spontaneous,55.76
reliability,55.75
clone,55.74
orient,55.74
elaborate,55.73
nominal,55.73
insert,55.72
reproduction,55.72
dominance,55.71
allocation,55.70
lung,55.69
productive,55.68
decay,55.66
conscious,55.66
thickness,55.66
transmit,55.65
conceive,55.64
offspring,55.64
resemble,55.63
circulation,55.63
correctly,55.62
necessity,55.61
metaphor,55.59
tract,55.59
liver,55.58
subjective,55.57
accumulate,55.57
rejection,55.56
maximize,55.56
replacement,55.55
amongst,55.52
complication,55.51
plural,55.50
valve,55.50
absorption,55.48
monetary,55.47
thermal,55.47
likewise,55.46
tolerance,55.45
articulate,55.44
donor,55.44
flux,55.42
mobility,55.41
manipulation,55.41
elevate,55.41
nationalism,55.39
analogy,55.39
adverse,55.39
nitrogen,55.37
plausible,55.37
vein,55.37
controversy,55.31
wheat,55.29
rewrite,55.27
manual,55.26
strategic,55.24
peasant,55.23
absorb,55.20
sketch,55.19
justification,55.19
lifetime,55.19
binary,55.17
definite,55.17
contour,55.13
execution,55.13
rhythm,55.12
ultimate,55.10
dictionary,55.10
constitution,55.07
acceleration,55.07
undermine,55.05
disadvantage,55.05
myth,55.03
strand,55.02
unify,54.97
randomly,54.96
philosopher,54.95
pronounce,54.95
workshop,54.95
objection,54.94
meaningful,54.94
wavelength,54.94
diagnose,54.93
accent,54.90
realm,54.90
replication,54.87
basin,54.86
admission,54.84
interestingly,54.84
clarify,54.83
grid,54.83
curriculum,54.81
displacement,54.80
coherent,54.80
standardize,54.80
civilization,54.79
positively,54.76
bacterial,54.73
deficiency,54.72
legitimate,54.71
sophisticate,54.67
accelerate,54.67
exponential,54.67
formally,54.63
socially,54.63
accurately,54.63
influential,54.62
progression,54.61
essence,54.61
cylinder,54.61
scholarship,54.60
sodium,54.60
predominantly,54.59
impulse,54.59
oscillation,54.59
theorist,54.58
manipulate,54.56
alliance,54.55
crystal,54.55
importantly,54.54
stack,54.52
drift,54.52
nest,54.51
fossil,54.50
dimensional,54.50
resistant,54.50
punishment,54.50
rhetoric,54.49
artifact,54.48
carrier,54.47
surgical,54.46
coordination,54.46
turbulent,54.44
quantum,54.44
sediment,54.40
ray,54.37
conserve,54.36
primer,54.35
grasp,54.35
bulk,54.33
terminology,54.32
vegetation,54.32
triangle,54.28
traditionally,54.28
execute,54.26
intensive,54.23
reconstruct,54.22
broadly,54.21
metabolism,54.21
revolutionary,54.20
merge,54.19
dilemma,54.17
motif,54.16
motive,54.15
subtle,54.15
clinic,54.15
allocate,54.14
hydrogen,54.12
dissertation,54.12
susceptible,54.11
architect,54.11
coronary,54.10
breakdown,54.08
inject,54.08
economist,54.07
momentum,54.04
polar,54.03
backward,54.03
multiply,54.02
morality,54.01
communicative,54.00
physically,53.99
rainfall,53.99
politically,53.99
invasion,53.97
inevitably,53.96
capitalism,53.95
expertise,53.94
inferior,53.93
actively,53.92
quotation,53.91
composite,53.91
historically,53.90
textbook,53.89
bundle,53.88
elementary,53.88
capitalist,53.88
flexibility,53.87
cord,53.84
initiation,53.84
realistic,53.84
horizon,53.83
consultation,53.83
ruler,53.83
freely,53.82
rotate,53.81
commodity,53.81
elevation,53.79
intervene,53.78
compensate,53.78
atomic,53.78
trivial,53.77
stance,53.76
stabilize,53.74
profound,53.72
whereby,53.72
ancestor,53.71
genetics,53.71
proton,53.67
phosphate,53.64
gravity,53.64
pole,53.63
puzzle,53.62
respiratory,53.62
elimination,53.61
exit,53.61
corruption,53.58
circulate,53.57
obscure,53.56
contradict,53.53
interfere,53.51
trauma,53.51
upward,53.50
gross,53.49
optical,53.47
communist,53.47
continent,53.46
physics,53.44
viable,53.44
limb,53.43
retrieve,53.41
presume,53.41
rationality,53.39
stereotype,53.37
slavery,53.34
artistic,53.28
anthropology,53.28
faculty,53.28
antibiotic,53.28
portray,53.28
chemistry,53.23
sexuality,53.23
axiom,53.22
pest,53.22
fracture,53.21
transplant,53.21
goods,53.19
shortly,53.16
epidemic,53.13
inversion,53.11
irrelevant,53.10
mechanic,53.09
epidemiology,53.09
dissolve,53.09
fatigue,53.04
nonetheless,53.03
bargain,52.99
infectious,52.98
individually,52.95
psychologist,52.95
trans,52.95
irrigation,52.90
diary,52.87
treaty,52.86
rehabilitation,52.86
illusion,52.85
bat,52.83
optimum,52.83
fever,52.82
paradox,52.82
kidney,52.78
predator,52.75
migrate,52.70
infinity,52.70
shallow,52.69
fundamentally,52.65
synthetic,52.61
solar,52.60
hepatitis,52.60
ton,52.59
bubble,52.57
bracket,52.56
elasticity,52.54
cure,52.53
contradictory,52.52
sensation,52.51
sustainable,52.49
elastic,52.49
machinery,52.47
dictate,52.44
vitamin,52.43
incline,52.42
leisure,52.40
enforcement,52.39
cyclic,52.39
prey,52.39
clue,52.36
friction,52.36
parenthesis,52.35
noble,52.34
potassium,52.33
reactive,52.33
genetically,52.31
bacteria,52.31
wisdom,52.31
crude,52.29
realism,52.28
deliberately,52.25
chemotherapy,52.25
surplus,52.24
capillary,52.24
directive,52.23
globalization,52.19
alien,52.16
portfolio,52.13
monopoly,52.13
lifestyle,52.10
invert,52.08
thread,52.08
clay,52.03
dye,52.03
transcribe,52.01
dilute,52.01
tribe,51.99
damp,51.98
economically,51.97
critically,51.90
secrete,51.87
hip,51.86
plantation,51.85
prejudice,51.80
onwards,51.80
anti,51.77
helix,51.74
interrupt,51.72
domination,51.66
undergraduate,51.63
soluble,51.63
innate,51.61
dioxide,51.60
goat,51.54
emit,51.54
confound,51.53
competent,51.53
degrade,51.52
layout,51.51
fabric,51.50
container,51.50
fungus,51.49
reservoir,51.49
footnote,51.48
bodily,51.45
niche,51.42
vague,51.41
affirm,51.35
urine,51.30
afterward,51.28
jazz,51.26
antiquity,51.25
unemployed,51.24
toxic,51.24
yeast,51.23
punish,51.17
forum,51.17
bleed,51.17
overhead,51.17
republic,51.14
processor,51.12
goodness,51.12
audit,51.02
comply,51.02
legend,51.02
slot,50.94
drain,50.89
abdominal,50.89
media,50.88
tempt,50.88
outlet,50.88
precipitation,50.87
founds,50.85
invade,50.84
interviewer,50.81
apple,50.81
planner,50.80
supposedly,50.78
gut,50.77
swell,50.75
emperor,50.70
altitude,50.68
gauge,50.67
transparency,50.64
sub,50.63
blank,50.57
chloride,50.53
sensible,50.51
weave,50.47
destination,50.46
precipitate,50.42
painful,50.41
industrialization,50.40
lab,50.40
seminar,50.37
minus,50.36
conduction,50.33
audio,50.31
subtract,50.30
facet,50.29
splice,50.17
incumbent,50.17
biodiversity,50.15
chunk,50.02
credibility,49.99
tutor,49.93
super,49.92
fin,49.87
aluminum,49.87
gram,49.85
liable,49.83
marble,49.80
pesticide,49.73
technically,49.65
criteria,49.64
fringe,49.60
messenger,49.58
biologist,49.57
connotation,49.56
delta,49.53
tremendous,49.49
snake,49.47
flesh,49.42
ghost,49.34
marrow,49.34
surgeon,49.33
instinct,49.32
industrialize,49.28
denominator,49.23
stripe,49.19
junior,49.18
solvent,49.18
kilometer,49.14
slab,49.10
click,49.00
hedge,48.82
spray,48.82
cinema,48.81
plug,48.76
naked,48.73
indifference,48.72
erase,48.68
powder,48.59
micro,48.51
clip,48.40
solute,48.38
dissection,48.32
censor,48.28
portrayal,48.27
statistics,48.06
thumb,48.04
acidic,48.04
uplift,48.01
flip,48.00
congruent,47.98
parcel,47.92
lecturer,47.92
skip,47.91
poster,47.89
sword,47.83
photographic,47.81
auction,47.75
barrel,47.74
mentor,47.73
nicely,47.73
lump,47.72
quiz,47.68
watershed,47.66
liter,47.43
oxidize,47.40
mercury,47.37
noisy,47.36
headquarter,47.36
phenomenal,47.32
multinational,47.31
comma,47.24
bizarre,47.22
specialty,47.20
socialize,47.16
enormously,47.12
novice,47.12
rope,47.08
campus,47.05
clever,47.03
mole,46.89
sometime,46.79
bucket,46.69
swap,46.67
recipe,46.65
airplane,46.60
deflection,46.57
deceive,46.56
syllabus,46.54
neat,46.54
factorial,46.51
lever,46.51
descriptor,46.50
semester,46.32
underneath,46.21
reactor,46.16
herbicide,46.06
bonus,46.05
cheat,46.02
missile,45.97
rub,45.95
radar,45.87
memorize,45.83
scripture,45.82
whoever,45.73
whichever,45.49
bullet,45.33
punch,45.33
postgraduate,45.29
artwork,45.22
pardon,45.05
millimeter,44.92
incredible,44.86
halfway,44.85
deadline,44.81
bang,44.77
semi,44.50
slash,44.47
ridiculous,44.42
homework,44.39
multi,44.39
volition,44.33
tricky,43.90
cheer,43.81
shuttle,43.77
aerosol,43.71
athletic,43.62
chess,43.56
terribly,43.53
unintelligible,43.51
circa,43.49
scroll,43.47
sponsorship,43.29
connector,43.20
nasty,43.17
incredibly,43.13
neo,43.11
entrant,42.98
hawk,42.94
handout,42.85
tech,42.59
rack,42.42
applause,42.34
demonstrator,42.26
calculator,41.84
mall,41.24
sneeze,40.82
sniff,40.69
stadium,40.67
descendent,38.92